NAMA,KELAS,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,NILAI_1,NILAI_2,NILAI_3,NILAI_4,NILAI_5,NILAI_6,TOTAL_NILAI,REKOMENDASI_MATERI
Siswa_1_1,Kelas 2,D,B,A,A,C,D,A,D,C,B,C,C,B,C,A,B,C,B,0.0,100.0,100.0,100.0,100.0,100.0,83.33,Materi 1: Perkalian sebagai Penjumlahan Berulang
Siswa_1_2,Kelas 2,D,D,B,A,C,D,A,D,C,D,C,C,B,C,A,B,C,B,33.33,100.0,100.0,66.67,100.0,100.0,83.33,Materi 1: Perkalian sebagai Penjumlahan Berulang
Siswa_1_3,Kelas 2,D,A,D,A,C,D,A,D,C,B,C,C,B,C,A,B,C,B,0.0,100.0,100.0,100.0,100.0,100.0,83.33,Materi 1: Perkalian sebagai Penjumlahan Berulang
Siswa_1_4,Kelas 2,D,B,D,A,C,D,A,D,C,C,C,C,B,C,A,B,C,B,0.0,100.0,100.0,66.67,100.0,100.0,77.78,Materi 1: Perkalian sebagai Penjumlahan Berulang
Siswa_1_5,Kelas 2,D,A,B,A,C,D,A,D,B,B,C,C,B,C,A,B,C,B,0.0,100.0,66.67,100.0,100.0,100.0,77.78,Materi 1: Perkalian sebagai Penjumlahan Berulang
Siswa_1_6,Kelas 2,D,C,A,A,D,D,A,D,C,B,C,D,B,C,A,B,C,B,0.0,66.67,100.0,66.67,100.0,100.0,72.22,Materi 1: Perkalian sebagai Penjumlahan Berulang
Siswa_1_7,Kelas 2,B,C,B,A,C,D,A,D,C,B,C,C,B,C,A,B,C,B,33.33,100.0,100.0,100.0,100.0,100.0,88.89,Materi 1: Perkalian sebagai Penjumlahan Berulang
Siswa_1_8,Kelas 2,D,A,C,A,C,D,A,D,D,B,C,C,D,C,A,B,C,B,33.33,100.0,66.67,100.0,66.67,100.0,77.78,Materi 1: Perkalian sebagai Penjumlahan Berulang
Siswa_1_9,Kelas 2,D,B,D,A,C,D,A,D,C,B,C,C,B,C,A,B,C,B,0.0,100.0,100.0,100.0,100.0,100.0,83.33,Materi 1: Perkalian sebagai Penjumlahan Berulang
Siswa_1_10,Kelas 2,B,C,D,A,C,D,A,D,C,B,C,C,B,C,A,B,C,D,33.33,100.0,100.0,100.0,100.0,66.67,83.33,Materi 1: Perkalian sebagai Penjumlahan Berulang
Siswa_1_11,Kelas 2,D,B,A,A,B,D,A,A,C,B,C,C,B,C,A,B,C,B,0.0,66.67,66.67,100.0,100.0,100.0,72.22,Materi 1: Perkalian sebagai Penjumlahan Berulang
Siswa_1_12,Kelas 2,B,A,B,A,C,D,A,D,C,B,C,C,C,C,A,B,C,B,33.33,100.0,100.0,100.0,66.67,100.0,83.33,Materi 1: Perkalian sebagai Penjumlahan Berulang
Siswa_1_13,Kelas 2,A,B,D,D,C,D,A,D,C,B,C,C,B,C,A,B,C,B,0.0,66.67,100.0,100.0,100.0,100.0,77.78,Materi 1: Perkalian sebagai Penjumlahan Berulang
Siswa_1_14,Kelas 2,D,D,D,A,C,D,A,D,C,B,C,C,B,C,A,B,C,B,33.33,100.0,100.0,100.0,100.0,100.0,88.89,Materi 1: Perkalian sebagai Penjumlahan Berulang
Siswa_1_15,Kelas 2,D,C,A,A,D,D,A,D,C,B,C,C,B,C,A,C,C,B,0.0,66.67,100.0,100.0,100.0,66.67,72.22,Materi 1: Perkalian sebagai Penjumlahan Berulang
Siswa_1_16,Kelas 2,C,C,C,A,C,D,A,B,C,B,C,B,B,C,A,B,C,B,33.33,100.0,66.67,66.67,100.0,100.0,77.78,Materi 1: Perkalian sebagai Penjumlahan Berulang
Siswa_1_17,Kelas 2,B,A,B,A,C,D,A,C,C,B,C,C,B,C,A,B,C,B,33.33,100.0,66.67,100.0,100.0,100.0,83.33,Materi 1: Perkalian sebagai Penjumlahan Berulang
Siswa_1_18,Kelas 2,C,A,B,A,C,D,A,D,C,B,A,C,A,C,A,B,C,B,0.0,100.0,100.0,66.67,66.67,100.0,72.22,Materi 1: Perkalian sebagai Penjumlahan Berulang
Siswa_1_19,Kelas 2,C,B,D,A,A,A,A,D,C,B,C,C,B,C,A,B,C,B,0.0,33.33,100.0,100.0,100.0,100.0,72.22,Materi 1: Perkalian sebagai Penjumlahan Berulang
Siswa_1_20,Kelas 2,D,D,B,A,C,D,A,D,C,B,C,C,B,D,A,B,C,B,33.33,100.0,100.0,100.0,66.67,100.0,83.33,Materi 1: Perkalian sebagai Penjumlahan Berulang
Siswa_1_21,Kelas 2,A,B,A,A,C,D,A,D,B,B,C,D,B,C,A,D,C,B,0.0,100.0,66.67,66.67,100.0,66.67,66.67,Materi 1: Perkalian sebagai Penjumlahan Berulang
Siswa_1_22,Kelas 2,C,D,B,A,C,D,A,D,C,B,C,C,B,C,A,B,C,B,33.33,100.0,100.0,100.0,100.0,100.0,88.89,Materi 1: Perkalian sebagai Penjumlahan Berulang
Siswa_1_23,Kelas 2,C,B,A,A,C,B,A,D,C,B,C,C,B,C,A,B,C,B,0.0,66.67,100.0,100.0,100.0,100.0,77.78,Materi 1: Perkalian sebagai Penjumlahan Berulang
Siswa_1_24,Kelas 2,C,A,C,A,C,D,A,D,C,B,C,A,B,C,A,B,C,B,33.33,100.0,100.0,66.67,100.0,100.0,83.33,Materi 1: Perkalian sebagai Penjumlahan Berulang
Siswa_1_25,Kelas 2,B,A,A,A,C,D,A,D,C,A,D,C,B,A,A,A,C,B,33.33,100.0,100.0,33.33,66.67,66.67,66.67,Materi 1: Perkalian sebagai Penjumlahan Berulang
